%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1636841695946500388,29302,1636841695946238149,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696046697047,29303,1636841696046238687,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696146514041,29304,1636841696146235735,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696246505121,29305,1636841696246234784,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696346718918,29306,1636841696346242504,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696446620702,29307,1636841696446240546,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696546518105,29308,1636841696546235657,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696646512860,29309,1636841696646234986,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696746523907,29310,1636841696746234764,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696846460585,29311,1636841696846235735,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841696946502369,29312,1636841696946235513,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841697047234501,29313,1636841697046236498,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841697146483537,29314,1636841697146240389,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
